
 : 10101
  : 11
A : 01011100
L : 00001011001
I : 00110001
C : 0101110111
E : 0011010001
' : 0000100
S : 0000101011
D : 0011010000
V : 011110110000
N : 0111101111
T : 10100010
U : 01111011001
R : 0111101010
W : 101000110
O : 0011010010
e : 0001
w : 010101
i : 00100
s : 00101
a : 1000
r : 00111
o : 1001
l : 01101
H : 011110100
M : 0000101110
F : 01011101011
2 : 0111101100011011
. : 1010000
9 : 0111101100011010
P : 01111011100
n : 00000
t : 0100
h : 1011
b : 0011011
- : 00110101
c : 011100
g : 010100
v : 00110000
y : 011101
d : 01100
f : 011111
k : 0111100
, : 010110
: : 101000111
p : 0011001
u : 000011
` : 0101111
? : 0000101101
m : 101001
( : 000010110000
) : 000010110001
Y : 00001010100
; : 0000101111
! : 000010100
q : 0111101101
K : 01011101001
j : 0111101011
x : 0101110110
G : 01011101000
Z : 0111101100011001
B : 00110100110
z : 01011101010
" : 00001010101
* : 01111011101
_ : 011110110001001
Q : 00110100111
J : 01111011000101
X : 011110110001000
[ : 011110110001111
] : 011110110001110
 : 0111101100011000
